	Restaurant_Name	Address	Rating
1	Slurping Turtle	116 W. Hubbard St.Chicago, IL 60654	14.0
2	The Tavern	519 N. Milwaukee Ave.Libertyville, IL 60048	14.0
3	Taxim	1558 N. Milwaukee Ave.Chicago, IL 60622	14.0
4	Tocco	1266 N. Milwaukee Ave.Chicago, IL 60622	14.0
5	Trattoria No. 10	10 N. Dearborn St.Chicago, IL 60602	14.0
6	Trenchermen	2039 W. North Ave.Chicago, IL 60647	14.0
7	Vermilion	10 W. Hubbard St.Chicago, IL 60610	14.0
8	The Violet Hour	1520 N. Damen Ave.Chicago, IL 606	14.0
9	Vivere	The Italian Village, 1st Floor71 W. Monroe St.Chicago, IL 60603	14.0
0	White Oak Tavern & Inn	1200 W. Webster Ave.Chicago, IL 606	14.0
1	Yusho	2853 N. Kedzie Ave.Chicago, IL 60618	14.0
0	Acadia	1639 S. Wabash Ave.Chicago, IL 60616	15.0
1	avec	615 W. Randolph St.Chicago, IL 60661	15.0
2	Balena	"1633 N. Halsted St.Chicago, IL 60614 | Menu

 |"	15.0
3	Blackbird	"619 W. Randolph St.Chicago, IL 60661 | Menu

 |"	15.0
4	The Bristol	2152 N. Damen Ave.Chicago, IL 60647	15.0
5	Coco Pazzo	300 W. Hubbard St.Chicago, IL 60610	15.0
6	CURRENT	W Chicago - Lakeshore644 N. Lake Shore Dr.Chicago, IL 60611	15.0
7	Frontera Grill	"445 N. Clark St.Chicago, IL 60610 | Menu


 "	15.0
8	Goosefoot	2656 W. Lawrence Ave.Chicago, IL 60625	15.0
9	Green Zebra	1460 W. Chicago Ave.Chicago, IL 60622	15.0
0	mk	868 N. Franklin St.Chicago, IL 60610	15.0
1	Momotaro	820 W. Lake St.Chicago, IL 60607	15.0
2	Monteverde	"1020 W. Madison St.Chicago, IL 60607
 |"	15.0
3	North Pond	"2610 N. Cannon Dr.Chicago, IL 60614 | Menu

 |"	15.0
4	Perennial Virant	Hotel Lincoln1800 N. Lincoln Ave.Chicago, IL 60614	15.0
5	Prairie Grass Cafe	601 Skokie Blvd.Northbrook, IL 60062	15.0
